法律名称,法条内容
东莞市文明行为促进条例,"第二十条 公民应当文明使用网络，自觉遵守以下文明行为规范：
 （一）维护网络安全，不编造、发布、传播虚假信息或者违法信息；
 （二）抵制网络谣言、迷信、色情、赌博、暴力等有害信息；
 （三）使用文明语言，注重理性表达，不侮辱、诽谤他人，抵制网络暴力；
 （四）尊重他人隐私以及其他合法权益；
 （五）应当遵守的其他网络文明规范。"
潮州市文明行为促进条例,"第十七条 在网络文明建设方面，自觉遵守下列规定：
 （一）维护网络安全，遵守网络秩序；
 （二）不编造、发布、传播虚假信息或者违法信息；
 （三）自觉抵制网络谣言、色情、暴力等有害信息；
 （四）不侵犯他人的个人隐私，未经授权同意，不得公开他人肖像、身份、收入、家庭成员及住址等个人信息；
 （五）使用文明语言，拒绝网络暴力；
 （六）网络运营者营造安全健康的网络环境，对未成年人参与网络游戏的时长、内容及游戏消费等制定具体限制措施；
 （七）不侵犯知识产权；
 （八）不发布低俗视频；
 （九）其他网络文明行为规范。"
张家口市文明行为促进条例,"第十一条 在文明办网、用网、上网方面，公民应当自觉遵守下列规范：
 (一)维护网络安全，遵守网络秩序；
 (二)不得编造、发布、传播虚假信息或者违法信息；
 (三)自觉抵制网络谣言、色情、暴力等有害信息；
 (四)尊重他人隐私，不得非法公开他人信息；
 (五)使用文明语言，拒绝网络暴力；
 (六)网络运营者应当营造安全健康的网络环境，对未成年人参与网络游戏的时长、内容及游戏消费等制定具体限制措施；
 (七)其他网络文明行为规范。"
保山市文明行为促进条例,"第十三条 倡导和遵守下列网络使用行为：
 （一）文明办网、用网、上网；
 （二）抵制编造、传播虚假和低俗、庸俗、媚俗等不良信息；
 （三）保守网络用户居住地、身份和通讯等个人信息秘密；
 （四）尊重他人名誉、荣誉、隐私、知识产权等合法权益；
 （五）文明互动，理性表达，拒绝网络暴力，不以发布、传播图文视频信息等方式侮辱、诽谤他人；
 （六）抵制网络谣言，不造谣、信谣、传谣。"
湛江市文明行为促进条例,"第六条 公民应当热爱祖国，弘扬中华民族传统美德，不违背公序良俗，并遵守下列文明行为规范：… （五）维护网络安全，遵守网络秩序，不编造、发布、传播虚假信息或者违法信息，自觉抵制网络谣言、色情、暴力等有害信息；…
"
无锡市社会治理促进条例,"第二十三条 网信部门负责统筹协调网络安全和相关监督管理工作。工业和信息化、公安、市场监管等部门按照各自职责负责网络安全保护和监督管理工作。
 网络运营者应当制定网络安全事件应急预案，开展网络安全认证、检测、风险评估等活动，落实网络安全等级保护制度和实名认证、日志留存等安全管理措施。
 任何组织和个人不得利用网络从事危害国家安全、扰乱社会秩序、侵害他人合法权益的活动，不得发布、传播违法有害信息或者谣言。"
文山壮族苗族自治州文明行为促进条例,"第十六条 倡导、鼓励下列网络文明行为：
 （一）文明互动，理性表达；
 （二）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （三）尊重他人合法权利，拒绝网络暴力。"
安徽省学校安全条例,"第四十五条 发生学校安全事故，学生、学生监护人、其他有关人员应当配合学校和有关部门依法进行调查处理，不得有下列行为：
 （一）侮辱、恐吓、殴打、故意伤害教职工、学生及其监护人、事故调查处理人员或者限制他人人身自由；
 （二）采用堵塞大门、围堵办公场所和道路、拉挂横幅等方式扰乱学校正常教育教学秩序；
 （三）侵占、毁损学校校舍、场地、教学及生活设施或者其他公私财物；
 （四）在网络等媒体散布谣言、传播虚假信息；
 （五）其他扰乱学校教育教学和管理秩序，干扰事故调查和处理的行为。"
商丘市文明行为促进条例(2022修正),"第二十三条 公民应当文明上网，遵守互联网传播秩序，理性表达，传播正能量，自觉抵制网络谣言和不良信息。
"
赤峰市文明行为促进条例,"第十八条 文明使用网络，遵守下列行为规范：
 （一）不浏览非法网站，不在网上编造、散布谣言；
 （二）不传播违反国家法律、危害国家安全、破坏社会稳定、破坏民族团结和损害他人合法权益的信息；
 （三）以发帖、回复、留言、弹幕、发送音视频等形式参与网络活动，文明互动，理性表达，抵制网络暴力；
 （四）不拍摄和发布低俗、恶俗、色情音视频；
 （五）尊重他人隐私，不非法公开他人个人信息；
 （六）其他使用网络的文明行为规范。"
成都市文明行为促进条例,"第十四条 在网络活动中，应当遵守下列规定：
 （一）保守国家秘密、商业秘密，尊重他人权益，避免侵犯他人隐私；
 （二）不得侵犯知识产权；
 （三）文明互动，理性表达，抵制谩骂、恐吓等网络暴力行为；
 （四）传播先进文化，抵制恐怖、暴力、迷信、色情、低俗等不良信息；
 （五）抵制网络谣言，不造谣、不信谣、不传谣；
 （六）其他符合网络文明要求的行为规范。"
张掖市文明行为促进条例,"第十六条 互联网群组、平台的建立者、管理者应当履行管理责任，加强网络管理和治理，规范信息发布等网络行为。 公民应当文明上网，诚信用网，理性表达，保守国家秘密，尊重他人隐私，抵制网络谣言，反对网络暴力，不得编造、发布、传播虚假、低俗、淫秽等不良信息，参与网络文明建设，树立网络文明新风。
"
梅州市文明行为促进条例,"第二十二条 在维护网络文明方面，自觉遵守下列规定：
 （一）文明上网，净化网络环境，维护网络安全和网络秩序；
 （二）不得编造、发布、传播虚假信息或者违法信息；自觉抵制网络谣言、色情、暴力、电信诈骗等有害信息；
 （三）保守国家秘密，保护商业秘密；尊重他人隐私，不得非法公开他人个人信息；
 （四）参与网络活动时，文明互动，理性表达，尊重他人权利，拒绝网络暴力；
 （五）网络电商交易平台经营者和从业人员遵守行业规范，文明经营，诚信履约，保障消费者合法权益；
 （六）其他网络文明规范。"
呼和浩特市社会治理促进条例,"第十七条 加强国家网络空间主权、安全和发展利益的维护。任何组织和个人不得利用网络从事危害国家安全、扰乱社会秩序、侵害他人合法权益等活动，不得制造、散布、传播谣言。 公安机关、网信、通信管理等部门应当加强网络安全管理和防护工作，建立健全网络安全综合防控体系，制定完善网络安全事件应急预案，开展网络安全宣传教育，加强对互联网企业的指导，保护公民个人信息安全，保障网络数据安全。
"
江西省未成年人保护条例(2022修订),"第二十一条 学校应当建立学生欺凌防控工作制度，对教职员工、未成年学生等开展防治学生欺凌的教育和培训。… （五）通过网络或者其他信息传播方式捏造事实诽谤他人、散布谣言或者错误信息诋毁他人、传播他人隐私；…
"
武威市文明行为促进条例,"第十三条 公民应当维护网络空间秩序，遵守下列行为规范：
 （一）抵制网络谣言和不良信息，不造谣、不信谣、不传谣，不泄露他人隐私；
 （二）文明互动、理性表达，不在自媒体上进行低俗媚俗表演，不进行谩骂、侮辱、诽谤、恐吓、人肉搜索、恶意诋毁等网络暴力行为；
 （三）其他维护网络空间秩序的行为。"
攀枝花市文明行为促进条例,"第十七条 维护网络文明，遵守下列行为规范：
 （一）文明互动，理性表达；
 （二）尊重他人合法权益，保护公民个人信息，拒绝网络暴力；
 （三）不编造、发布和传播虚假、低俗、淫秽、暴力、恐怖等信息，抵制网络谣言和不良信息；
 （四）不参与涉及色情、赌博、暴力的网络游戏；
 （五）其他维护网络文明的行为规范。"
云南省实施《中华人民共和国未成年人保护法》办法(2022修订),"第十七条 学校应当建立学生欺凌防控和处置机制，开展学生欺凌防治专题教育，设立学生欺凌投诉、求助通道。出现以下欺凌行为的，教职员工应当立即制止并向学校报告，学校应当及时进行认定和处理：
 （一）殴打、脚踢、掌掴、抓咬、推撞、拉扯等侵犯他人身体或者恐吓威胁他人；
 （二）以辱骂、讥讽、嘲弄、挖苦、起侮辱性绰号等方式侵犯他人人格尊严；
 （三）抢夺、强拿硬要或者故意毁坏他人财物；
 （四）恶意排斥、孤立他人，影响他人参加学校活动或者社会交往；
 （五）通过网络或者其他信息传播方式捏造事实诽谤他人、散布谣言或者错误信息诋毁他人、恶意传播他人隐私；
 （六）学生一方以其他方式欺压、侮辱另一方造成人身伤害、财产损失或者精神损害的行为；
 （七）其他学生欺凌的行为。"
湖南省社会科学普及条例(2022修正),"第十八条 以社会科学普及为名，从事下列活动的，依法给予处罚：
 (一)散布谣言；
 (二)组织、教唆、胁迫、诱骗、煽动他人从事邪教、会道门、迷信活动；
 (三)发布、传播危害国家安全、扰乱社会秩序以及淫秽、色情、赌博、暴力、恐怖和法律法规禁止的其他信息；
 (四)从事其他危害国家安全、损害社会公共利益或者他人合法权益的活动。"
榆林市文明行为促进条例,"第十九条 公民应当遵守网络信息管理的法律法规，自觉维护网络安全和秩序。不浏览、转发、转载违法和庸俗信息，抵制网络谣言和不良信息。 网络运营者应当文明办网，尊重社会公德，遵守商业道德，诚实信用，维护网络安全，加强对网络用户制作、复制、发布、传播信息的管理。
"
咸宁市文明行为促进条例,"第十七条 公民应当文明上网，理性表达，抵制网络谣言，不编造和传播虚假、暴力、低俗、淫秽等违法信息，不利用网络进行赌博、诈骗，不侵害他人名誉、隐私、知识产权等合法权益。 网络运营者应当依法办网，强化网络安全主体责任，加强网络管理，净化网络环境，传播健康信息，维护网络安全和秩序。
"
随州市文明行为促进条例,"第十六条 公民应当维护网络文明，遵守下列行为规范：
 （一）文明互动，理性表达；
 （二）尊重他人权利，拒绝网络暴力；
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （四）其他维护网络文明的行为规范。"
中山市文明行为促进条例,"第十八条 在维护网络文明方面，应当遵守下列文明行为规范：
 （一）维护网络安全，遵守网络秩序；
 （二）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （三）尊重他人隐私，不得非法公开他人个人信息；
 （四）文明互动，理性表达，拒绝网络暴力；
 （五）网络经营者应当依法营造安全健康的网络环境，对未成年人参与网络游戏的时长、内容进行限制，规范游戏付费等；
 （六）其他网络文明行为规范。"
甘肃省防震减灾条例(2022修订),"第二十八条 地震预报意见和地震预警信息实行统一发布制度。… 任何单位和个人不得制造、散布地震谣言。对扰乱社会秩序的地震谣言、误传，县级以上人民政府应当迅速予以澄清，并依照有关规定采取相应措施。
"
河北省医疗纠纷预防和处理条例,"第四十七条 患者及其近亲属以及其他相关人员有下列行为之一，经劝阻无效的，医疗机构应当立即向所在地公安机关报警，并配合公安机关做好调查取证等工作：
 （一）聚众占据医疗机构的诊疗、办公场所；
 （二）在医疗机构私设灵堂、摆放花圈、焚烧纸钱、悬挂横幅、堵塞大门或者以其他方式扰乱医疗秩序；
 （三）在医疗机构的病房、抢救室、重症监护室等场所及医疗机构的公共开放区域违规停放尸体，影响医疗秩序；
 （四）公然侮辱、谩骂、诋毁、恐吓医务工作人员，非法限制医务工作人员人身自由，殴打、伤害医务工作人员；
 （五）非法占用、故意损毁公私财物；
 （六）非法携带枪支、弹药、管制器具或者爆炸性、放射性、毒害性、腐蚀性等危险物品进入医疗机构；
 （七）利用媒体散布谣言，故意扰乱公共秩序；
 （八）其他扰乱医疗机构正常秩序的行为。"
山东省税收保障条例,"第十九条 公安机关、网信等部门应当按照各自职责，依法及时处理寻衅滋事、散布谣言等严重影响税收管理秩序的行为。 对税务机关移送的逃税、骗税、抗税、虚开发票等涉嫌犯罪案件，公安机关应当依法办理，并将办理情况及时反馈税务机关。
"
上海市科学技术普及条例,"第二十条 应急管理、民防、卫生健康以及其他相关行政管理部门应当结合本部门职责，开展自然灾害、事故灾难、公共卫生事件和社会安全事件等突发事件应对方面的科普活动。 突发事件发生后，相关行政管理部门应当按照应急预案，向公众提供有效的应急科普，依法及时向公众发布灾情信息，澄清不实传闻和伪科学谣言。
"
拉萨市文明行为促进条例,"第十三条 在维护网络秩序方面，应当遵守下列文明行为规范：
 （一）文明互动，理性表达；
 （二）尊重他人权利，拒绝网络暴力；
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （四）其他维护网络文明的行为规范。"
渭南市文明行为促进条例,"第十八条 在维护网络文明方面，应当遵守下列文明行为规范：
 (一)文明互动，理性表达；
 (二)尊重他人权利，拒绝网络暴力；
 (三)抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 (四)不转发、观看盗版影视文学作品；
 (五)其他维护网络文明的行为规范。"
延边朝鲜族自治州文明行为促进条例,"第十九条 公民应当文明使用网络，自觉遵守下列规定：
 （一）文明上网，诚信用网，理性表达，远离不良网站，维护网络安全和秩序；
 （二）抵制网络谣言和不良信息，不编造、发布、传播虚假、低俗、淫秽、暴力信息；
 （三）不泄露他人隐私；
 （四）不以发帖、跟帖、评论、人肉搜索、智能换脸、智能变声等任何方式侮辱、诽谤他人；
 （五）其他相关规定。"
山东省学前教育条例(2021修正),"第六十六条 发生儿童安全等事故，儿童父母或者其他监护人以及其他有关人员应当配合事故处置和调查处理，并不得有下列行为：
 （一）侮辱、威胁、恐吓、故意伤害儿童、教师与其他工作人员、事故调查处理人员，或者限制其人身自由；
 （二）围堵幼儿园，扰乱正常保育教育秩序；
 （三）侵占、损毁幼儿园设施、设备；
 （四）携带危险物品和管制刀具、器械进入幼儿园；
 （五）制造、散布谣言；
 （六）其他违法行为。
 发生前款行为，幼儿园应当立即向所在地公安机关报案；涉嫌违法犯罪的，公安机关应当依法及时采取措施予以处置，维护幼儿园秩序。"
兰州市中小学生人身伤害事故预防与处理条例(2021修正),"第三十一条 公安机关对事故处理中的下列行为应当依法予以查处：
 （一）寻衅滋事、侮辱、威胁、恐吓、故意伤害当事人、教职工、学生或者非法限制教职工、学生人身自由的；
 （二）毁灭证据、破坏现场、隐瞒真相、阻扰事故调查处理的；
 （三）围堵学校或者进入学校拉条幅、设灵堂、焚香烧纸、摆花圈、散发传单、喧闹、张贴大字报等聚众闹事的；
 （四）侵占、破坏学校房屋、设施、设备的；
 （五）携带易燃易爆危险物品和管制器具进入学校的；
 （六）制造谣言或者散布网络谣言等其他扰乱学校正常秩序的；
 （七）其他干扰学校正常教育教学工作的。"
六盘水市文明行为促进条例,"第十七条 在网络通信方面，应当遵守下列文明行为规范：
 （一）尊重他人，文明互动，理性表达；
 （二）抵制网络谣言和不良信息，拒绝网络暴力；
 （三）抵制和防范网络赌博、诈骗、色情；
 （四）法律法规的其他规定。"
海南省铁路安全管理规定,"第十九条 禁止实施下列扰乱铁路运营秩序的行为：
 （一）强占他人座位、铺位；
 （二）散布影响铁路安全的谣言；
 （三）以醉酒闹事、强行讨要等方式滋扰旅客；
 （四）强闯进站、出站闸机或者验票口；
 （五）法律、法规禁止的其他扰乱铁路运营秩序的行为。"
玉溪市文明行为促进条例,"第十七条 文明使用网络，遵守下列行为规范：
 （一）文明互动，理性表达；
 （二）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （三）尊重他人权利，拒绝网络暴力。"
鹰潭市文明行为促进条例,"第十三条 在维护网络文明方面，应当遵守下列文明行为规范：
 （一）文明互动，理性表达，弘扬正能量；
 （二）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （三）尊重他人权利，拒绝网络暴力；
 （四）不发布或者传播具有低俗、淫秽、暴力等内容的信息；
 （五）尊重他人知识产权；
 （六）维护网络文明的其他文明行为规范。"
雅安市文明行为促进条例,"第二十八条 遵守下列行为规范：…文明理性发表言论，拒绝网络暴力，抵制网络谣言和不良信息，不造谣、不信谣、不传谣；…
"
吕梁市文明行为促进条例,"第二十三条 公民应当维护网络文明，遵守下列规定：
 （一）以发帖、跟帖、转发、评论等方式参与网络活动时，文明互动，理性表达；
 （二）尊重他人隐私，不得泄露他人信息；
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （四）其他维护网络文明行为规范。"
西藏自治区文化市场管理条例(2021修正),"第二十二条 从事文化经营活动的单位或者个人在经营活动中不得有下列内容：
 （一）违反宪法确定的基本原则；
 （二）危害国家主权、统一和领土完整；
 （三）泄露国家秘密，危害国家安全或者损害国家荣誉和利益；
 （四）煽动民族仇恨、民族歧视，伤害民族感情，破坏民族团结，侵害民族风俗习惯，违反宗教政策；
 （五）危害社会公德或者民族优秀文化传统；
 （六）宣扬邪教、迷信；
 （七）散布谣言，扰乱社会秩序，破坏社会稳定；
 （八）宣扬淫秽、赌博、暴力或者教唆犯罪；
 （九）侮辱或者诽谤他人，侵害他人合法权益；
 （十）法律、法规禁止的其他内容。"
福建省防震减灾条例(2021修正),"第二十三条 任何单位和个人不得向社会散布地震预报意见及其评审结果，不得制造、散布地震谣言。 对扰乱社会秩序的地震谣言，县级以上地方人民政府负责管理地震工作的部门或者机构应当会同公安机关、新闻主管部门及时予以澄清和平息。
"
江门市文明行为促进条例,"第十九条 在维护网络电信文明方面，应当遵守下列规定：
 （一）以发帖、跟帖、转发、评论等方式参与网络活动时，文明互动，理性表达。
 （二）尊重他人隐私，不得泄露他人信息。
 （三）抵制网络谣言和不良信息，不造谣、不信谣、不传谣。
 （四）其他维护网络电信文明的行为规范。"
绵阳市文明行为促进条例,"第十七条 维护网络文明，遵守下列规范：
 （一）文明互动，理性表达；
 （二）尊重他人合法权益，保护公民个人信息，拒绝网络暴力；
 （三）不造谣、不信谣、不传谣，抵制网络谣言和不良信息；
 （四）网络运营者应当传播健康信息，营造良好网络生态；
 （五）其他维护网络文明行为规范。"
河北省信息化条例(2021修订),"第五十四条 禁止利用网络实施下列行为：
 （一）危害国家安全、损害国家利益和社会公共利益；
 （二）危害网络安全；
 （三）侵犯知识产权、商业秘密、个人隐私以及个人和组织的合法权益；
 （四）散布谣言，谎报险情、疫情、警情扰乱公共秩序；
 （五）制作、散布淫秽、色情、暴力、恐怖或者教唆犯罪的信息；
 （六）法律、行政法规禁止实施的其他行为。"
浙江省防震减灾条例(2021修正),"第二十九条 任何单位和个人不得制造、散布地震谣言。 发生地震谣传、误传事件时，县级以上人民政府地震工作主管部门应当会同应急管理、公安、新闻出版、广播电视主管部门予以澄清，及时向社会发布相关信息。
"
广西壮族自治区爱国卫生条例,"第三十七条 各级人民政府以及有关部门、新闻媒体应当加强心理健康科普宣传，传播自尊自信、理性平和、乐观积极的理念和相关知识，引导形成和谐向上的家庭和社会氛围。
 各级人民政府以及有关部门应当建立健全突发公共卫生事件、自然灾害等突发事件处置中的社会心理健康监测预警机制，加强心理健康促进和心理疏导、危机干预，引导公民客观认识和科学应对突发事件、不编造和散布谣言。
 县级以上人民政府应当建立健全政府、社会组织、专业机构、高等院校和科研院所共同参与的心理健康咨询服务机制，充分发挥互联网作用，为公民提供方便可及的心理健康服务；加强心理健康服务志愿者队伍建设，支持拓展心理健康宣传疏导等志愿服务。"
南京市社会治理促进条例,"第十二条 加强网络安全管理，维护国家网络空间主权、安全和发展利益。任何组织和个人不得利用网络从事危害国家安全、扰乱社会秩序、侵害他人合法权益等活动，不得制造、散布、传播政治谣言。
 加强网络舆情监管和舆论危机预防应对工作，提高网络安全防护能力，及时监管、精准研判、有效引导网络舆情，培育文明理性的网络环境。
 网信、通信、公安、文化等主管部门依照法律、行政法规的规定，在各自职责范围内负责网络安全保护和监督管理的相关工作。"
湖北省分洪区安全建设与管理条例(2021修正),"第三十二条 违反本条例有下列行为之一的，由县级以上防汛指挥部门或分洪区管理部门批评教育，责令其停止违法行为。情节严重的，由行政主管部门或监察机关追究责任单位主要负责人和直接责任人的责任。构成犯罪的，由司法机关追究刑事责任。
 （一）拒不执行防御洪水方案，或拒不执行防汛指挥部门的分洪命令的；
 （二）阻碍执行防洪任务的；
 （三）执行分洪命令不力或滥发命令、散布谣言造成人心恐慌及财产损失的；
 （四）玩忽职守，或在分洪紧要关头脱逃的；
 （五）截留、挪用、挤占、贪污、盗窃分洪区安全建设、管理资金和分洪救灾款物的；
 （六）侵占、破坏、盗窃分洪区安全设施的。"
七台河市文明行为促进条例,"第十八条 在维护网络文明方面，应当遵守下列文明行为：
 （一）尊德守法、文明互动、理性表达，远离不良网站，防止网络沉迷，自觉维护良好网络秩序；
 （二）创作、传播爱社会主义爱党爱国爱家乡的网络作品；
 （三）尊重他人权利，拒绝网络暴力；
 （四）抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （五）其他维护网络文明的行为规范。"
运城市文明行为促进条例,"第十六条 公民应当维护网络文明，遵守下列文明行为规范：
 （一）文明使用网络，诚信友好交流；
 （二）抵制网络谣言和虚假、低级庸俗、封建迷信等不良信息，不造谣、不信谣、不传谣；
 （三）不侵害他人名誉、隐私、知识产权和其他合法权益，拒绝网络暴力；
 （四）其他维护网络文明的行为规范。"
